2026-09-19T18:29:19.600+05:30 INFO  [requestId= tenantId= tenantCode=] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-09-19T18:29:19.677+05:30 INFO  [requestId= tenantId= tenantCode=] com.ai.gateway.GatewayApplication - Starting GatewayApplication using Java 21.0.11 with PID 22392 (D:\ai-security-gateway-mvp-skeleton\ai-security-gateway\target\classes started by ASUS in D:\ai-security-gateway-mvp-skeleton\ai-security-gateway)
2026-09-19T18:29:19.679+05:30 INFO  [requestId= tenantId= tenantCode=] com.ai.gateway.GatewayApplication - No active profile set, falling back to 1 default profile: "default"
2026-09-19T18:29:21.519+05:30 INFO  [requestId= tenantId= tenantCode=] o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-09-19T18:29:21.793+05:30 INFO  [requestId= tenantId= tenantCode=] o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 257 ms. Found 28 JPA repository interfaces.
2026-09-19T18:29:23.011+05:30 INFO  [requestId= tenantId= tenantCode=] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-09-19T18:29:23.032+05:30 INFO  [requestId= tenantId= tenantCode=] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-09-19T18:29:23.036+05:30 INFO  [requestId= tenantId= tenantCode=] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-09-19T18:29:23.038+05:30 INFO  [requestId= tenantId= tenantCode=] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2026-09-19T18:29:23.135+05:30 INFO  [requestId= tenantId= tenantCode=] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-09-19T18:29:23.135+05:30 INFO  [requestId= tenantId= tenantCode=] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3401 ms
2026-09-19T18:29:23.434+05:30 INFO  [requestId= tenantId= tenantCode=] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-09-19T18:29:23.643+05:30 INFO  [requestId= tenantId= tenantCode=] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@b76b7d8
2026-09-19T18:29:23.643+05:30 INFO  [requestId= tenantId= tenantCode=] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
