round,slot,tenant,request_id,started_at,start_epoch_ns,end_epoch_ns,latency_ms,status_code,success,error,response_preview
1,A1,POSTMAN-ISOLATION-A,78eed22d-0bbb-4971-af35-bc3c78c022f6,2026-08-18T20:09:49.195862+00:00,1787083789195861000,1787083811512193100,22316.332,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""78eed22d-0bbb-4971-af35-bc3c78c022f6"",""response"":""It's working! I returned:\n\n\""It's working!\""""},""timestamp"":""2026-08-18T20:10:11.510080800Z""}"
1,A2,POSTMAN-ISOLATION-A,f6724c19-8e1b-4a5f-8b09-9391400233ae,2026-08-18T20:09:49.195932+00:00,1787083789195931900,1787083806058274000,16862.341,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""f6724c19-8e1b-4a5f-8b09-9391400233ae"",""response"":""\""Test prompt working fine.\""""},""timestamp"":""2026-08-18T20:10:06.055183900Z""}"
1,A3,POSTMAN-ISOLATION-A,f994b708-9ea7-4b88-be03-6175a84033f9,2026-08-18T20:09:49.195973+00:00,1787083789195973600,1787083808001475600,18805.501,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""f994b708-9ea7-4b88-be03-6175a84033f9"",""response"":""You entered: \""checking if prompt works fine. return the same text\""""},""timestamp"":""2026-08-18T20:10:07.998852500Z""}"
1,B1,POSTMAN-ISOLATION-B,863f3ed4-05e2-46cc-b7d1-6beb7f2672fe,2026-08-18T20:09:49.196014+00:00,1787083789196014000,1787083810059684100,20863.669,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""863f3ed4-05e2-46cc-b7d1-6beb7f2672fe"",""response"":""It works fine. The original text is: \""checking if prompt works fine.\""""},""timestamp"":""2026-08-18T20:10:10.056104300Z""}"
1,B2,POSTMAN-ISOLATION-B,9b25d928-be2b-40a0-8b68-b5b032c33589,2026-08-18T20:09:49.195682+00:00,1787083789195679500,1787083805267462700,16071.782,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""9b25d928-be2b-40a0-8b68-b5b032c33589"",""response"":""The prompt seems to be working fine. Here is the same text back to you:\n\n\""The prompt seems to be working fine.\""""},""timestamp"":""2026-08-18T20:10:05.236984Z""}"
2,A1,POSTMAN-ISOLATION-A,65c4a430-819f-49db-9f93-d55315e59110,2026-08-18T20:10:11.514562+00:00,1787083811514561200,1787083818884898000,7370.336,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""65c4a430-819f-49db-9f93-d55315e59110"",""response"":""You can simply type 'Hello' and I will echo it back to you. \n\nPlease enter your message:""},""timestamp"":""2026-08-18T20:10:18.880460300Z""}"
2,A2,POSTMAN-ISOLATION-A,c6aa0b83-624e-4863-bb6e-292bf8f5e835,2026-08-18T20:10:11.514700+00:00,1787083811514699100,1787083823025432700,11510.733,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""c6aa0b83-624e-4863-bb6e-292bf8f5e835"",""response"":""It works! You entered: checking if prompt works fine. return the same text""},""timestamp"":""2026-08-18T20:10:23.022350800Z""}"
2,A3,POSTMAN-ISOLATION-A,8df6c849-a045-4708-9d52-4ad15f5cd989,2026-08-18T20:10:11.515029+00:00,1787083811515027600,1787083816121518000,4606.49,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""8df6c849-a045-4708-9d52-4ad15f5cd989"",""response"":""The prompt seems to be working fine. Here is the same text you provided:\n\nChecking if prompt works fine. Return the same text.""},""timestamp"":""2026-08-18T20:10:16.119210200Z""}"
2,B1,POSTMAN-ISOLATION-B,ca6a10a9-3468-4094-a2d2-d5afde26a1ac,2026-08-18T20:10:11.514865+00:00,1787083811514863600,1787083824243514600,12728.651,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""ca6a10a9-3468-4094-a2d2-d5afde26a1ac"",""response"":""You entered: `return the same text`""},""timestamp"":""2026-08-18T20:10:24.241004Z""}"
2,B2,POSTMAN-ISOLATION-B,60de4672-576b-4908-a217-68edef3f3b00,2026-08-18T20:10:11.514310+00:00,1787083811514308200,1787083820945976000,9431.668,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""60de4672-576b-4908-a217-68edef3f3b00"",""response"":""It works fine.\n\nThe text you entered is: The text you entered is:""},""timestamp"":""2026-08-18T20:10:20.941879600Z""}"
3,A1,POSTMAN-ISOLATION-A,5e4bb2d9-16b6-40cc-a222-8f55ffc7e976,2026-08-18T20:10:24.245989+00:00,1787083824245987000,1787083884338000300,60092.013,500,False,,"{""timestamp"":""2026-08-19T01:41:24.3177254"",""status"":500,""error"":""Internal Server Error"",""message"":""I/O error on POST request for \""http://localhost:11434/api/chat\"": Read timed out"",""path"":""/api/chat""}"
3,A2,POSTMAN-ISOLATION-A,42bc7dc0-05ed-43df-aa42-d1449ec8593c,2026-08-18T20:10:24.246125+00:00,1787083824246124000,1787083827481492000,3235.367,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""42bc7dc0-05ed-43df-aa42-d1449ec8593c"",""response"":""The prompt \""works fine\"".""},""timestamp"":""2026-08-18T20:10:27.477732900Z""}"
3,A3,POSTMAN-ISOLATION-A,e87fc402-7676-4fd9-b578-8de18f668c07,2026-08-18T20:10:24.246289+00:00,1787083824246287800,1787083883136452000,58890.164,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""e87fc402-7676-4fd9-b578-8de18f668c07"",""response"":""The prompt appears to be working fine. The same text will be returned: \""The prompt appears to be working fine. The same text will be returned.\""""},""timestamp"":""2026-08-18T20:11:23.134645900Z""}"
3,B1,POSTMAN-ISOLATION-B,f9452099-a8b0-4dd3-9c6b-62b592f0700c,2026-08-18T20:10:24.246407+00:00,1787083824246406300,1787083826633158700,2386.752,200,True,,"{""success"":true,""message"":""Response generated successfully."",""data"":{""requestId"":""f9452099-a8b0-4dd3-9c6b-62b592f0700c"",""response"":""```\nYou entered: You entered:\n```""},""timestamp"":""2026-08-18T20:10:26.629916200Z""}"
