sequence,request_id,status_code,latency_ms,success,error
1,575acaf8-5fd0-4370-83a5-dcb07137cef0,500,31602.667199913412,False,HTTP 500
2,0689060c-96fc-474b-a2fc-04fec8df532e,500,31603.03230001591,False,HTTP 500
3,f0bf18fb-6ee1-4cba-8773-b59e93e104b7,500,31605.029999976978,False,HTTP 500
4,e9829679-0aa5-4159-8c98-4b93555bac4c,200,15697.035999968648,True,
5,20a016dd-ea03-4633-9ec8-8ffc7a53193d,500,31606.37399996631,False,HTTP 500
6,6aa06b7d-ae44-4c71-9ac8-36fe528dae9f,500,30048.90980012715,False,HTTP 500
7,b436e680-d365-459f-a9a5-19d34830a1fe,500,30062.282799975947,False,HTTP 500
8,c7399945-df4b-447a-a61d-a84d6a91105a,500,30047.794200014323,False,HTTP 500
9,eba4c232-33d5-42cd-8513-f9db6807959f,200,26892.91840000078,True,
10,a6f60f52-99f2-4b76-a035-176333a0ae9c,200,28332.192600006238,True,
11,fe159e10-ed63-4362-accd-eb3211bb2134,200,20869.529800023884,True,
12,98a2ac52-3509-4c36-a1d2-f8582a955111,200,10169.780700001866,True,
13,885e8cbd-6a97-4359-a2bd-5db881256cde,500,30059.32560004294,False,HTTP 500
14,31ccbcf1-69c3-45dd-bd1a-481a2736bee4,500,30026.690599974245,False,HTTP 500
15,9500e2a9-7800-4ac0-ba53-79a09f4f0b9c,500,30030.184499919415,False,HTTP 500
16,81ee6c0e-46da-4d43-ab2e-5112b13ce6c7,500,30043.579200049862,False,HTTP 500
17,ed12185b-768d-43b5-8650-b195908a904c,500,31074.175299843773,False,HTTP 500
18,026817b1-7d11-4192-8ac3-0b07dd9bf2ec,200,26588.94810010679,True,
19,9a320018-bead-49d2-8879-9684ac49cbeb,200,26046.391100157052,True,
20,06f8c66d-78b9-4b6e-8206-745da88f87f6,200,27038.809599820524,True,
21,477e15fc-8af3-4e98-83b0-453ecb2af28d,200,25035.121399909258,True,
22,1955b2e8-f454-40f6-8943-57b730ee4758,200,25044.249600032344,True,
23,dd2d7be3-3f99-41a5-b0a3-99b8a18ab142,200,10803.794299950823,True,
24,a82b6e50-f6d5-4989-b813-71f4be6f2f8d,200,11243.83440008387,True,
25,437906ad-eaca-478d-b637-2a41a17a01fa,200,11704.190199961886,True,
